place,m/w,name,gender,s20,BestTime,Month of date,Year,Result,Result_gen,sub20,Dist
67,21,Балакшина Анна,Ж,,00:20:07,January,2018,00:22:50,00:22:50,,1000
76,23,Игнатьева Олеся,Ж,,00:20:23,January,2018,00:22:25,00:22:25,,1000
93,26,Пчелинцева Анастасия,Ж,,00:20:47,January,2018,00:22:13,00:22:13,,1000
101,28,Кузнецова Наталья,Ж,,00:20:58,January,2018,00:21:32,00:21:32,,1000
111,30,Равлина Евгения,Ж,,00:21:08,January,2018,00:22:14,00:22:14,,1000
113,32,Захарова Дарья,Ж,,00:21:12,January,2018,00:21:12,00:21:12,,1000
120,34,Ярошенко Виктория,Ж,,00:21:31,January,2018,00:22:23,00:22:23,,1000
121,35,Самошкина Мария,Ж,,00:21:33,January,2018,00:21:51,00:21:51,,1000
141,42,Дайнеко Оксана,Ж,,00:22:14,January,2018,00:22:47,00:22:47,,1000
142,43,Поляк Мария,Ж,,00:22:17,January,2018,00:23:42,00:23:42,,1000
152,48,Сенина Анна,Ж,,00:22:25,January,2018,00:22:50,00:22:50,,1000
176,54,Воробьева Наталья,Ж,,00:22:53,January,2018,00:28:52,00:28:52,,1000
174,55,Максимова Наталья,Ж,,00:22:53,January,2018,00:23:28,00:23:28,,1000
177,56,Трухина Анастасия,Ж,,00:22:57,January,2018,00:25:02,00:25:02,,1000
180,58,Овчинникова Юлия,Ж,,00:22:58,January,2018,00:23:42,00:23:42,,1000
208,69,Пивоварова Марианна,Ж,,00:23:31,January,2018,00:23:31,00:23:31,,1000
212,72,Кондратьева Екатерина,Ж,,00:23:34,January,2018,00:23:34,00:23:34,,1000
218,79,Федорова Елена,Ж,,00:23:40,January,2018,00:23:40,00:23:40,,1000
232,84,Велегура Елена,Ж,,00:23:54,January,2018,00:28:10,00:28:10,,1000
255,96,Агапова Дарья,Ж,,00:24:30,January,2018,00:24:30,00:24:30,,1000
264,101,Онисовец Александра,Ж,,00:24:45,January,2018,00:24:45,00:24:45,,1000
284,112,Шибаева Анна,Ж,,00:25:16,January,2018,00:29:11,00:29:11,,1000
287,114,Куприянова Юлия,Ж,,00:25:20,January,2018,00:25:20,00:25:20,,1000
301,120,Кочергина Лиза,Ж,,00:25:52,January,2018,00:25:52,00:25:52,,1000
325,135,Бахвалова Анна,Ж,,00:26:28,January,2018,00:26:28,00:26:28,,1000
347,150,Кирович Ольга,Ж,,00:27:20,January,2018,00:29:58,00:29:58,,1000
358,157,Каменцева Ольга,Ж,,00:27:45,January,2018,00:27:45,00:27:45,,1000
359,158,Назайкинская Ольга,Ж,,00:27:46,January,2018,00:27:46,00:27:46,,1000
378,170,Павлова Алена,Ж,,00:28:21,January,2018,00:37:55,00:37:55,,1000
393,178,Бочарова Татьяна,Ж,,00:29:08,January,2018,00:31:56,00:31:56,,1000
403,183,Знаменская Анна,Ж,,00:29:28,January,2018,00:29:28,00:29:28,,1000
426,199,Долженкова Елена,Ж,,00:30:58,January,2018,00:30:58,00:30:58,,1000
449,214,Балашова Наталья,Ж,,00:32:18,January,2018,00:32:18,00:32:18,,1000
450,215,Романова Ольга,Ж,,00:32:56,January,2018,00:32:56,00:32:56,,1000
459,221,Газизянова Алсу,Ж,,00:33:59,January,2018,00:37:22,00:37:22,,1000
66,20,Байзянова Яна,Ж,,00:20:06,February,2018,00:20:06,00:20:06,,1000
76,23,Игнатьева Олеся,Ж,,00:20:23,February,2018,00:20:23,00:20:23,,1000
